binned_coordinates,updated_type,updated_subtype,hour,Count,type_subtype,longitude,latitude
"(-87.76, 41.97)",Accident,Major,17,6,Accident - Major,-87.76,41.97
"(-87.76, 41.87)",Accident,Major,17,6,Accident - Major,-87.76,41.87
"(-87.64, 41.87)",Accident,Major,18,19,Accident - Major,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,18,11,Accident - Major,-87.66,41.9
"(-87.63, 41.81)",Accident,Major,18,11,Accident - Major,-87.63,41.81
"(-87.72, 41.87)",Accident,Major,18,10,Accident - Major,-87.72,41.87
"(-87.68, 41.88)",Accident,Major,18,10,Accident - Major,-87.68,41.88
"(-87.61, 41.71)",Accident,Major,18,9,Accident - Major,-87.61,41.71
"(-87.63, 41.76)",Accident,Major,18,9,Accident - Major,-87.63,41.76
"(-87.64, 41.85)",Accident,Major,18,9,Accident - Major,-87.64,41.85
"(-87.77, 41.97)",Accident,Major,18,8,Accident - Major,-87.77,41.97
"(-87.63, 41.79)",Accident,Major,18,7,Accident - Major,-87.63,41.79
"(-87.66, 41.9)",Accident,Major,19,30,Accident - Major,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,19,18,Accident - Major,-87.65,41.88
"(-87.63, 41.78)",Accident,Major,19,17,Accident - Major,-87.63,41.78
"(-87.64, 41.87)",Accident,Major,19,15,Accident - Major,-87.64,41.87
"(-87.68, 41.88)",Accident,Major,19,15,Accident - Major,-87.68,41.88
"(-87.66, 41.88)",Accident,Major,19,14,Accident - Major,-87.66,41.88
"(-87.63, 41.76)",Accident,Major,19,14,Accident - Major,-87.63,41.76
"(-87.65, 41.89)",Accident,Major,19,13,Accident - Major,-87.65,41.89
"(-87.72, 41.82)",Accident,Major,19,11,Accident - Major,-87.72,41.82
"(-87.72, 41.87)",Accident,Major,19,11,Accident - Major,-87.72,41.87
"(-87.65, 41.88)",Accident,Major,20,22,Accident - Major,-87.65,41.88
"(-87.66, 41.88)",Accident,Major,20,19,Accident - Major,-87.66,41.88
"(-87.65, 41.89)",Accident,Major,20,19,Accident - Major,-87.65,41.89
"(-87.64, 41.87)",Accident,Major,20,16,Accident - Major,-87.64,41.87
"(-87.67, 41.88)",Accident,Major,20,15,Accident - Major,-87.67,41.88
"(-87.64, 41.85)",Accident,Major,20,13,Accident - Major,-87.64,41.85
"(-87.63, 41.81)",Accident,Major,20,12,Accident - Major,-87.63,41.81
"(-87.66, 41.9)",Accident,Major,20,11,Accident - Major,-87.66,41.9
"(-87.63, 41.84)",Accident,Major,20,11,Accident - Major,-87.63,41.84
"(-87.64, 41.86)",Accident,Major,20,9,Accident - Major,-87.64,41.86
"(-87.66, 41.9)",Accident,Major,21,188,Accident - Major,-87.66,41.9
"(-87.64, 41.87)",Accident,Major,21,16,Accident - Major,-87.64,41.87
"(-87.65, 41.88)",Accident,Major,21,13,Accident - Major,-87.65,41.88
"(-87.63, 41.79)",Accident,Major,21,12,Accident - Major,-87.63,41.79
"(-87.66, 41.88)",Accident,Major,21,12,Accident - Major,-87.66,41.88
"(-87.63, 41.84)",Accident,Major,21,11,Accident - Major,-87.63,41.84
"(-87.63, 41.78)",Accident,Major,21,11,Accident - Major,-87.63,41.78
"(-87.67, 41.88)",Accident,Major,21,11,Accident - Major,-87.67,41.88
"(-87.63, 41.85)",Accident,Major,21,10,Accident - Major,-87.63,41.85
"(-87.64, 41.86)",Accident,Major,21,9,Accident - Major,-87.64,41.86
"(-87.64, 41.87)",Accident,Major,22,26,Accident - Major,-87.64,41.87
"(-87.65, 41.89)",Accident,Major,22,22,Accident - Major,-87.65,41.89
"(-87.66, 41.9)",Accident,Major,22,17,Accident - Major,-87.66,41.9
"(-87.66, 41.88)",Accident,Major,22,13,Accident - Major,-87.66,41.88
"(-87.63, 41.81)",Accident,Major,22,12,Accident - Major,-87.63,41.81
"(-87.65, 41.88)",Accident,Major,22,10,Accident - Major,-87.65,41.88
"(-87.63, 41.85)",Accident,Major,22,10,Accident - Major,-87.63,41.85
"(-87.64, 41.85)",Accident,Major,22,10,Accident - Major,-87.64,41.85
"(-87.67, 41.84)",Accident,Major,22,9,Accident - Major,-87.67,41.84
"(-87.63, 41.78)",Accident,Major,22,9,Accident - Major,-87.63,41.78
"(-87.64, 41.87)",Accident,Major,23,14,Accident - Major,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,23,13,Accident - Major,-87.66,41.9
"(-87.63, 41.79)",Accident,Major,23,11,Accident - Major,-87.63,41.79
"(-87.64, 41.86)",Accident,Major,23,10,Accident - Major,-87.64,41.86
"(-87.79, 41.98)",Accident,Major,23,10,Accident - Major,-87.79,41.98
"(-87.76, 41.87)",Accident,Major,23,9,Accident - Major,-87.76,41.87
"(-87.64, 41.85)",Accident,Major,23,8,Accident - Major,-87.64,41.85
"(-87.81, 41.98)",Accident,Major,23,7,Accident - Major,-87.81,41.98
"(-87.63, 41.78)",Accident,Major,23,7,Accident - Major,-87.63,41.78
"(-87.65, 41.89)",Accident,Major,23,7,Accident - Major,-87.65,41.89
"(-87.74, 41.96)",Accident,Minor,0,5,Accident - Minor,-87.74,41.96
"(-87.65, 41.87)",Accident,Minor,0,5,Accident - Minor,-87.65,41.87
"(-87.79, 41.98)",Accident,Minor,0,4,Accident - Minor,-87.79,41.98
"(-87.74, 41.82)",Accident,Minor,0,4,Accident - Minor,-87.74,41.82
"(-87.63, 41.78)",Accident,Minor,0,4,Accident - Minor,-87.63,41.78
"(-87.67, 41.92)",Accident,Minor,0,4,Accident - Minor,-87.67,41.92
"(-87.63, 41.91)",Accident,Minor,0,4,Accident - Minor,-87.63,41.91
"(-87.76, 41.87)",Accident,Minor,0,4,Accident - Minor,-87.76,41.87
"(-87.64, 41.95)",Accident,Minor,0,3,Accident - Minor,-87.64,41.95
"(-87.63, 41.79)",Accident,Minor,0,3,Accident - Minor,-87.63,41.79
"(-87.66, 41.9)",Accident,Minor,1,5,Accident - Minor,-87.66,41.9
"(-87.64, 41.87)",Accident,Minor,1,4,Accident - Minor,-87.64,41.87
"(-87.64, 41.85)",Accident,Minor,1,4,Accident - Minor,-87.64,41.85
"(-87.67, 41.91)",Accident,Minor,1,3,Accident - Minor,-87.67,41.91
"(-87.62, 41.9)",Accident,Minor,1,3,Accident - Minor,-87.62,41.9
"(-87.76, 41.97)",Accident,Minor,1,3,Accident - Minor,-87.76,41.97
"(-87.77, 41.87)",Accident,Minor,1,3,Accident - Minor,-87.77,41.87
"(-87.64, 41.86)",Accident,Minor,1,2,Accident - Minor,-87.64,41.86
"(-87.58, 41.79)",Accident,Minor,1,2,Accident - Minor,-87.58,41.79
"(-87.65, 41.88)",Accident,Minor,1,2,Accident - Minor,-87.65,41.88
"(-87.62, 41.9)",Accident,Minor,2,6,Accident - Minor,-87.62,41.9
"(-87.67, 41.92)",Accident,Minor,2,3,Accident - Minor,-87.67,41.92
"(-87.79, 41.98)",Accident,Minor,2,3,Accident - Minor,-87.79,41.98
"(-87.63, 41.81)",Accident,Minor,2,2,Accident - Minor,-87.63,41.81
"(-87.66, 42.01)",Accident,Minor,2,2,Accident - Minor,-87.66,42.01
"(-87.66, 41.9)",Accident,Minor,2,2,Accident - Minor,-87.66,41.9
"(-87.58, 41.8)",Accident,Minor,2,2,Accident - Minor,-87.58,41.8
"(-87.65, 41.89)",Accident,Minor,2,2,Accident - Minor,-87.65,41.89
"(-87.63, 41.78)",Accident,Minor,2,2,Accident - Minor,-87.63,41.78
"(-87.63, 41.92)",Accident,Minor,2,2,Accident - Minor,-87.63,41.92
"(-87.62, 41.9)",Accident,Minor,3,4,Accident - Minor,-87.62,41.9
"(-87.65, 41.88)",Accident,Minor,3,3,Accident - Minor,-87.65,41.88
"(-87.75, 41.99)",Accident,Minor,3,3,Accident - Minor,-87.75,41.99
"(-87.77, 41.87)",Accident,Minor,3,3,Accident - Minor,-87.77,41.87
"(-87.74, 41.79)",Accident,Minor,3,2,Accident - Minor,-87.74,41.79
"(-87.84, 41.95)",Accident,Minor,3,2,Accident - Minor,-87.84,41.95
"(-87.63, 41.79)",Accident,Minor,3,2,Accident - Minor,-87.63,41.79
"(-87.73, 41.87)",Accident,Minor,3,2,Accident - Minor,-87.73,41.87
"(-87.73, 41.95)",Accident,Minor,3,2,Accident - Minor,-87.73,41.95
"(-87.62, 41.71)",Accident,Minor,3,1,Accident - Minor,-87.62,41.71
"(-87.65, 41.88)",Accident,Minor,4,4,Accident - Minor,-87.65,41.88
"(-87.66, 41.9)",Accident,Minor,4,3,Accident - Minor,-87.66,41.9
"(-87.63, 41.84)",Accident,Minor,4,2,Accident - Minor,-87.63,41.84
"(-87.63, 41.81)",Accident,Minor,4,2,Accident - Minor,-87.63,41.81
"(-87.81, 41.98)",Accident,Minor,4,2,Accident - Minor,-87.81,41.98
"(-87.76, 41.92)",Accident,Minor,4,2,Accident - Minor,-87.76,41.92
"(-87.7, 41.87)",Accident,Minor,4,2,Accident - Minor,-87.7,41.87
"(-87.61, 41.85)",Accident,Minor,4,2,Accident - Minor,-87.61,41.85
"(-87.6, 41.67)",Accident,Minor,4,1,Accident - Minor,-87.6,41.67
"(-87.62, 41.77)",Accident,Minor,4,1,Accident - Minor,-87.62,41.77
"(-87.64, 41.86)",Accident,Minor,5,3,Accident - Minor,-87.64,41.86
"(-87.76, 41.97)",Accident,Minor,5,2,Accident - Minor,-87.76,41.97
